Institute Name,Description,doc_id
Dean’s Welcome To Our Community,Join us in making a shared vision of computer science for everyone a powerful reality.,2029
NDIF at Northeastern: $9 million NSF grant to launch groundbreaking project,"Khoury College professor David Bau is the lead PI of the groundbreaking National Deep Inference Fabric (NDIF), a revolutionary project aimed at unraveling the mysteries of large-scale AI systems",2030
Center for Inclusive Computing,"Founded in 2019, the Center for Inclusive Computing at Northeastern University partners with colleges and universities to increase the representation of female computing graduates. These partnerships focus on addressing and removing the institutional barriers that exclude women of all races and ethnicities from discovering and thriving in computing programs.",2031
Cybersecurity and Privacy Institute,"By collaborating with experts in industry, government, and academia around the world, the Cybersecurity and Privacy Institute’s faculty and students research, develop, and enhance technologies on which the world relies.",2032
Network Science Institute,"The Network Science Institute (NetSI) at Northeastern University is a multidisciplinary research community that supports innovative research and training in network science. Its researchers work to discover and inspire fundamentally new ways to measure, model, predict, and visualize meaningful interactions and interconnectivity of social, physical, and technological systems.",2033
Institute of Information Assurance,"A multidisciplinary effort created in 2005, the Institute of Information Assurance (IIA) is a crucial part of Northeastern University’s commitment to advancing cybersecurity through research and education. The IIA draws on talent and knowledge in three colleges at Northeastern: Khoury College, the College of Engineering’s Department of Electrical and Computer Engineering, and the College of Social Sciences and Humanities.",2034
Center for Generative AI,"In conjunction with its $9 million NSF grant for a National Deep Inference Fabric (NDIF) — a revolutionary project aimed at unlocking the inner workings of large language models — Khoury College launched the Center for Generative AI to enhance and grow partnerships, and to foster collaboration between industry members and interdisciplinary researchers.",2035
The Internet Democracy Initiative,"The Internet Democracy Initiative studies problems that have widespread implications for information and social media, thus improving our understanding the role of the internet in democracy, society, and markets.",2036
National Internet Observatory,"Supported by a grant from the National Science Foundation, the National Internet Observatory aims to help researchers understand how people behave online and how platforms structure what people see.",2037
Institute for Experiential Robotics,The Institute for Experiential Robotics develops robots that learn and adaptively execute autonomous behaviors from human partners and other robots. Experiential robotics identifies and studies use-driven research problems at the intersection of collective human–robot experience.,2038
