Area,URL
Algorithms and Theory,https://www.khoury.northeastern.edu/research_areas/algorithms-and-theory
Artificial Intelligence,https://www.khoury.northeastern.edu/research_areas/artificial-intelligence
Computational Biology,https://www.khoury.northeastern.edu/research_areas/computational-biology
Computer Science Education,https://www.khoury.northeastern.edu/research_areas/computer-science-education
Cybersecurity and Privacy,https://www.khoury.northeastern.edu/research_areas/cybersecurity-and-privacy
Data Management,https://www.khoury.northeastern.edu/research_areas/data-management
Data Science,https://www.khoury.northeastern.edu/research_areas/data-science
Data Visualization,https://www.khoury.northeastern.edu/research_areas/data-visualization
Formal Methods,https://www.khoury.northeastern.edu/research_areas/formal-methods
Games,https://www.khoury.northeastern.edu/research_areas/games
Human-Centered Computing,https://www.khoury.northeastern.edu/research_areas/human-centered-computing
Machine Learning,https://www.khoury.northeastern.edu/research_areas/machine-learning
Natural Language Processing,https://www.khoury.northeastern.edu/research_areas/natural-language-processing
Network Science,https://www.khoury.northeastern.edu/research_areas/network-science
Personal Health Informatics,https://www.khoury.northeastern.edu/research_areas/personal-health-informatics
Programming Languages,https://www.khoury.northeastern.edu/research_areas/programming-languages
Robotics,https://www.khoury.northeastern.edu/research_areas/robotics
Software Engineering,https://www.khoury.northeastern.edu/research_areas/software-engineering
Systems and Networking,https://www.khoury.northeastern.edu/research_areas/systems-and-networking
